,alpha,beta,l1,l2,cum_gain
342,0.1,1.0,1.0,0.05,-0.21698494661260953
343,0.1,1.0,1.0,0.1,-0.21698494661260953
344,0.1,1.0,1.0,0.5,-0.2561980444596744
345,0.1,1.0,1.0,1.0,-0.2947146544708591
346,0.1,1.0,1.0,1.5,-0.41003061554292697
347,0.1,1.0,1.0,2.0,-0.4418485573219667
348,0.1,1.0,1.5,0.05,-0.4251753220382246
349,0.1,1.0,1.5,0.1,-0.4251753220382246
350,0.1,1.0,1.5,0.5,-0.4455708467321079
351,0.1,1.0,1.5,1.0,-0.4125189467605808
352,0.1,1.0,1.5,1.5,-0.4394897546806561
353,0.1,1.0,1.5,2.0,-0.4520658345860738
354,0.1,1.0,2.0,0.05,-0.4905772096965094
355,0.1,1.0,2.0,0.1,-0.4905772096965094
356,0.1,1.0,2.0,0.5,-0.5041343786049306
357,0.1,1.0,2.0,1.0,-0.46805678091345304
358,0.1,1.0,2.0,1.5,-0.49103398478962107
359,0.1,1.0,2.0,2.0,-0.5017110683854082
360,0.1,1.5,0.05,0.05,-0.5459332567873898
361,0.1,1.5,0.05,0.1,-0.5280467205920956
362,0.1,1.5,0.05,0.5,-0.5308593691559217
363,0.1,1.5,0.05,1.0,-0.4999317965083951
364,0.1,1.5,0.05,1.5,-0.5292903406207571
365,0.1,1.5,0.05,2.0,-0.47222041880139914
366,0.1,1.5,0.1,0.05,-0.4770204910620594
367,0.1,1.5,0.1,0.1,-0.4770204910620594
368,0.1,1.5,0.1,0.5,-0.4645014221179287
369,0.1,1.5,0.1,1.0,-0.37453390319672747
370,0.1,1.5,0.1,1.5,-0.3941002835041835
371,0.1,1.5,0.1,2.0,-0.435304423359019
372,0.1,1.5,0.5,0.05,-0.3971442643048804
373,0.1,1.5,0.5,0.1,-0.3971442643048804
374,0.1,1.5,0.5,0.5,-0.4397089849692338
375,0.1,1.5,0.5,1.0,-0.4534772699588577
376,0.1,1.5,0.5,1.5,-0.4097459855246884
377,0.1,1.5,0.5,2.0,-0.4348308815627457
378,0.1,1.5,1.0,0.05,-0.42388303524805265
379,0.1,1.5,1.0,0.1,-0.42388303524805265
