,alpha,beta,l1,l2,cum_gain
198,0.05,2.0,1.0,0.05,0.7851593226149749
199,0.05,2.0,1.0,0.1,0.7851593226149749
200,0.05,2.0,1.0,0.5,0.9078403431500901
201,0.05,2.0,1.0,1.0,0.951546094115796
202,0.05,2.0,1.0,1.5,0.9293383681514901
203,0.05,2.0,1.0,2.0,0.9293383681514901
204,0.05,2.0,1.5,0.05,0.504880288745976
205,0.05,2.0,1.5,0.1,0.504880288745976
206,0.05,2.0,1.5,0.5,0.5530628900453655
207,0.05,2.0,1.5,1.0,0.5309484561480234
208,0.05,2.0,1.5,1.5,0.37412088428232954
209,0.05,2.0,1.5,2.0,0.2928430564664864
210,0.05,2.0,2.0,0.05,0.5019285879017454
211,0.05,2.0,2.0,0.1,0.5019285879017454
212,0.05,2.0,2.0,0.5,0.5019285879017454
213,0.05,2.0,2.0,1.0,0.5019285879017454
214,0.05,2.0,2.0,1.5,0.5019285879017454
215,0.05,2.0,2.0,2.0,0.5019285879017454
216,0.1,0.05,0.05,0.05,0.8347059692157561
217,0.1,0.05,0.05,0.1,1.4837600442190828
218,0.1,0.05,0.05,0.5,1.1455104014722428
219,0.1,0.05,0.05,1.0,1.3701332317830037
220,0.1,0.05,0.05,1.5,1.2018697960870068
221,0.1,0.05,0.05,2.0,1.3450594325708132
222,0.1,0.05,0.1,0.05,1.723510122791215
223,0.1,0.05,0.1,0.1,1.2368768953893072
224,0.1,0.05,0.1,0.5,1.080035693631962
225,0.1,0.05,0.1,1.0,1.2981832696306004
226,0.1,0.05,0.1,1.5,0.4601599470803253
227,0.1,0.05,0.1,2.0,0.5424178585020316
228,0.1,0.05,0.5,0.05,1.1848960974821687
229,0.1,0.05,0.5,0.1,0.9740441656130944
230,0.1,0.05,0.5,0.5,1.1832750894643786
231,0.1,0.05,0.5,1.0,0.5752890247609243
232,0.1,0.05,0.5,1.5,0.44799062779543103
233,0.1,0.05,0.5,2.0,0.8074971329347718
234,0.1,0.05,1.0,0.05,0.7594167810773234
235,0.1,0.05,1.0,0.1,1.018254736329147
236,0.1,0.05,1.0,0.5,0.895125689034501
237,0.1,0.05,1.0,1.0,0.6062491000618596
238,0.1,0.05,1.0,1.5,0.44449176322431516
239,0.1,0.05,1.0,2.0,0.7025377250812402
240,0.1,0.05,1.5,0.05,0.7299663985677496
241,0.1,0.05,1.5,0.1,0.7177705469351726
242,0.1,0.05,1.5,0.5,0.5725776819009533
243,0.1,0.05,1.5,1.0,0.46087011307742815
244,0.1,0.05,1.5,1.5,1.0523099720743665
245,0.1,0.05,1.5,2.0,0.6115843937315123
246,0.1,0.05,2.0,0.05,0.5254041720946457
247,0.1,0.05,2.0,0.1,0.6276085221832827
248,0.1,0.05,2.0,0.5,0.6754531624399727
