,DAY_NO,FTRL_OPG_CUMILATIVE_GAIN,FTRL_RDA_CUMILATIVE_GAIN,FTL_CUMILATIVE_GAIN,FTRL_EXP_RDA_CUMILATIVE_GAIN,FTRL_MOVING_RDA_CUMILATIVE_GAIN,SGD_CUMILATIVE_GAIN
512,513,0.690679963880934,0.7437750760851635,0.35343915343915344,0.049794871157683024,0.11088765454171604,0.7446558075651815
513,514,0.7196539945914388,0.7736590243699273,0.3702821869488536,0.0628591675084204,0.1247122272559112,0.7663673829655561
514,515,0.7203330734362162,0.7743594294078514,0.36948853615520305,0.062243572392417235,0.12406080759922156,0.7653443244388372
515,516,0.7268975022690651,0.7811300114411184,0.37425044091710774,0.06593714308843718,0.12796932553936047,0.7714826755991524
516,517,0.7268975022690651,0.7811300114411184,0.3747795414462083,0.0663475398324394,0.12840360531048703,0.7721647146169652
517,518,0.7298401772631007,0.7841650999387896,0.3805114638447974,0.07079350455913018,0.1331083028310247,0.7795534706432709
518,519,0.7456853503079081,0.8005078841570199,0.37566137566137575,0.0670315344057764,0.12912740492903124,0.77330144631332
519,520,0.7540606560601631,0.8091462129580842,0.38439153439153456,0.07380308068181313,0.13629302115261938,0.7845550901072316
520,521,0.7576824098989765,0.81288170649368,0.40987654320987654,0.09357052385125338,0.1572108301285481,0.817406636131882
521,522,0.7563242522094216,0.8114808964178316,0.41507936507936516,0.09760609183394191,0.16148124787795923,0.8241133531403748
522,523,0.7567769714392731,0.8119478331097809,0.40881834215167545,0.09274973036324889,0.156342270586295,0.8160425580962564
523,524,0.7635677598870476,0.8189518834890224,0.3754850088183421,0.06689473549110891,0.1289826450053223,0.773074099974049
524,525,0.7839401252303714,0.8399640346267471,0.3778659611992946,0.06874152083911898,0.13093690397539184,0.7761432755542067
525,526,0.784392844460223,0.8404309713186965,0.3771604938271605,0.06819432518044927,0.13035786428055637,0.7752338901971229
526,527,0.7850719233050004,0.8411313763566206,0.38536155202821876,0.07455547471248375,0.13708920073301795,0.7858054949732215
