,alpha,beta,l1,l2,cum_gain
359,0.1,1.0,2.0,2.0,0.40048721098296214
360,0.1,1.5,0.05,0.05,0.563475087636661
361,0.1,1.5,0.05,0.1,0.5092713571534552
362,0.1,1.5,0.05,0.5,0.42558106877358504
363,0.1,1.5,0.05,1.0,0.4209873145991879
364,0.1,1.5,0.05,1.5,0.4209873145991879
365,0.1,1.5,0.05,2.0,0.4516213211522979
366,0.1,1.5,0.1,0.05,0.563475087636661
367,0.1,1.5,0.1,0.1,0.563475087636661
368,0.1,1.5,0.1,0.5,0.42558106877358504
369,0.1,1.5,0.1,1.0,0.4209873145991879
370,0.1,1.5,0.1,1.5,0.4209873145991879
371,0.1,1.5,0.1,2.0,0.4516213211522979
372,0.1,1.5,0.5,0.05,0.15578277066487467
373,0.1,1.5,0.5,0.1,0.18135642174469055
374,0.1,1.5,0.5,0.5,0.23501486041466108
375,0.1,1.5,0.5,1.0,0.21574150363806224
376,0.1,1.5,0.5,1.5,0.20934287548543654
377,0.1,1.5,0.5,2.0,0.19943009608681764
378,0.1,1.5,1.0,0.05,0.22124087046177257
379,0.1,1.5,1.0,0.1,0.13362118833434136
380,0.1,1.5,1.0,0.5,0.20258333640192802
381,0.1,1.5,1.0,1.0,0.2815095707709817
382,0.1,1.5,1.0,1.5,0.2790444548252588
383,0.1,1.5,1.0,2.0,0.24930062876206494
384,0.1,1.5,1.5,0.05,0.33021583303076135
385,0.1,1.5,1.5,0.1,0.33021583303076135
386,0.1,1.5,1.5,0.5,0.4714206686685627
387,0.1,1.5,1.5,1.0,0.5172543759553125
388,0.1,1.5,1.5,1.5,0.5482367704446142
389,0.1,1.5,1.5,2.0,0.5701484383996303
390,0.1,1.5,2.0,0.05,0.5868482190394041
391,0.1,1.5,2.0,0.1,0.6110582360325421
392,0.1,1.5,2.0,0.5,0.6704810041898572
393,0.1,1.5,2.0,1.0,0.6316288911259585
394,0.1,1.5,2.0,1.5,0.6008355430000427
395,0.1,1.5,2.0,2.0,0.6135905891569601
396,0.1,2.0,0.05,0.05,0.2296193274378179
397,0.1,2.0,0.05,0.1,0.2296193274378179
398,0.1,2.0,0.05,0.5,0.3086124069459858
399,0.1,2.0,0.05,1.0,0.352720968534523
400,0.1,2.0,0.05,1.5,0.3337773932117869
401,0.1,2.0,0.05,2.0,0.29771354038581926
402,0.1,2.0,0.1,0.05,0.2296193274378179
403,0.1,2.0,0.1,0.1,0.2296193274378179
404,0.1,2.0,0.1,0.5,0.27847513917934513
405,0.1,2.0,0.1,1.0,0.3071333990636893
406,0.1,2.0,0.1,1.5,0.3588772153163542
407,0.1,2.0,0.1,2.0,0.3156789783858898
408,0.1,2.0,0.5,0.05,0.3459614750886382
409,0.1,2.0,0.5,0.1,0.3459614750886382
410,0.1,2.0,0.5,0.5,0.29688846788138035
411,0.1,2.0,0.5,1.0,0.3613393232896136
412,0.1,2.0,0.5,1.5,0.23148273335480243
413,0.1,2.0,0.5,2.0,0.3223203278858384
414,0.1,2.0,1.0,0.05,0.5501268545577033
415,0.1,2.0,1.0,0.1,0.5501268545577033
416,0.1,2.0,1.0,0.5,0.5828063506208884
417,0.1,2.0,1.0,1.0,0.6570444363972827
418,0.1,2.0,1.0,1.5,0.721216383252832
419,0.1,2.0,1.0,2.0,0.8044447877461837
420,0.1,2.0,1.5,0.05,0.7263118288470628
421,0.1,2.0,1.5,0.1,0.7263118288470628
422,0.1,2.0,1.5,0.5,0.7577043658761894
423,0.1,2.0,1.5,1.0,0.79324029556516
424,0.1,2.0,1.5,1.5,0.7830933318636736
425,0.1,2.0,1.5,2.0,0.8080645396783217
426,0.1,2.0,2.0,0.05,0.6935023095862682
427,0.1,2.0,2.0,0.1,0.7397884997298592
428,0.1,2.0,2.0,0.5,0.7884596015738119
429,0.1,2.0,2.0,1.0,0.7928842502228325
430,0.1,2.0,2.0,1.5,0.8266004272845328
431,0.1,2.0,2.0,2.0,0.8320557605901869
432,1.0,0.05,0.05,0.05,0.5067914094638011
433,1.0,0.05,0.05,0.1,1.1585635061085495
434,1.0,0.05,0.05,0.5,0.2925083540937284
435,1.0,0.05,0.05,1.0,0.792190492300783
436,1.0,0.05,0.05,1.5,0.599285073735324
437,1.0,0.05,0.05,2.0,1.101103983980174
438,1.0,0.05,0.1,0.05,0.17257009637476975
439,1.0,0.05,0.1,0.1,1.0405846861692907
440,1.0,0.05,0.1,0.5,0.29413652460611456
441,1.0,0.05,0.1,1.0,0.7114108315138502
442,1.0,0.05,0.1,1.5,0.587658535426287
443,1.0,0.05,0.1,2.0,0.8445164751702643
444,1.0,0.05,0.5,0.05,1.6401613035432137
445,1.0,0.05,0.5,0.1,1.5794973711113045
446,1.0,0.05,0.5,0.5,1.2408722717307763
447,1.0,0.05,0.5,1.0,1.0492000714867462
448,1.0,0.05,0.5,1.5,1.4802121266461348
449,1.0,0.05,0.5,2.0,1.1667997573797018
450,1.0,0.05,1.0,0.05,0.7419524269521587
451,1.0,0.05,1.0,0.1,0.688314233818343
452,1.0,0.05,1.0,0.5,1.085792992872419
453,1.0,0.05,1.0,1.0,1.0268409495879447
454,1.0,0.05,1.0,1.5,1.1260672720740612
455,1.0,0.05,1.0,2.0,1.180912747982554
456,1.0,0.05,1.5,0.05,1.0573303413520545
457,1.0,0.05,1.5,0.1,1.1247796612358534
458,1.0,0.05,1.5,0.5,1.1142420205374013
459,1.0,0.05,1.5,1.0,1.432678911220769
460,1.0,0.05,1.5,1.5,1.2193588467910212
461,1.0,0.05,1.5,2.0,1.2548713517985126
462,1.0,0.05,2.0,0.05,0.9322907784327409
463,1.0,0.05,2.0,0.1,0.8327680825170449
464,1.0,0.05,2.0,0.5,1.026141509530955
465,1.0,0.05,2.0,1.0,1.0652607254539659
466,1.0,0.05,2.0,1.5,1.0699972371537951
467,1.0,0.05,2.0,2.0,1.0719137961963092
468,1.0,0.1,0.05,0.05,1.1585635061085495
469,1.0,0.1,0.05,0.1,0.8767084866641821
470,1.0,0.1,0.05,0.5,0.5314587480539521
471,1.0,0.1,0.05,1.0,0.526422379124754
472,1.0,0.1,0.05,1.5,0.605567047758355
473,1.0,0.1,0.05,2.0,1.101103983980174
474,1.0,0.1,0.1,0.05,1.0405846861692907
475,1.0,0.1,0.1,0.1,0.4729937720649672
476,1.0,0.1,0.1,0.5,0.31345734458949914
477,1.0,0.1,0.1,1.0,0.7851756329791615
478,1.0,0.1,0.1,1.5,0.599285073735324
479,1.0,0.1,0.1,2.0,1.0863410584000668
480,1.0,0.1,0.5,0.05,1.5794973711113045
481,1.0,0.1,0.5,0.1,1.503062107940444
482,1.0,0.1,0.5,0.5,1.1505198817287225
483,1.0,0.1,0.5,1.0,1.2404685017197588
484,1.0,0.1,0.5,1.5,1.4707949150083255
485,1.0,0.1,0.5,2.0,1.2087375870024397
486,1.0,0.1,1.0,0.05,0.688314233818343
487,1.0,0.1,1.0,0.1,0.7168266950648066
488,1.0,0.1,1.0,0.5,1.0377752493840406
489,1.0,0.1,1.0,1.0,1.0616491441483458
490,1.0,0.1,1.0,1.5,1.1084434779563306
491,1.0,0.1,1.0,2.0,1.1581446488020213
492,1.0,0.1,1.5,0.05,1.1247796612358534
493,1.0,0.1,1.5,0.1,1.1678480197660857
494,1.0,0.1,1.5,0.5,1.1114101465240547
