,DAY_NO,FTRL_OPG_CUMILATIVE_GAIN,FTRL_RDA_CUMILATIVE_GAIN,FTL_CUMILATIVE_GAIN,FTRL_EXP_RDA_CUMILATIVE_GAIN,FTRL_MOVING_RDA_CUMILATIVE_GAIN,SGD_CUMILATIVE_GAIN
45,46,0.01879770988169849,0.09405265330074118,0.13441907589270502,0.23979297918691833,0.23166834082947574,0.2732719423558116
46,47,0.036440368595080236,0.09894318481111891,0.15406396555019053,0.2612626430808247,0.2529973092542819,0.20163066389024514
47,48,0.016164477237910327,0.1075016149542799,0.1314870028094984,0.23658855174006682,0.2284849127063705,0.18001685445487106
48,49,0.010634688685954847,0.12522979167939896,0.12532964933476415,0.22985925410167826,0.22179971364784917,0.1795311508720536
49,50,0.006095419990269463,0.12502601953313325,0.09131760156956534,0.19268789571819855,0.18487194741982652,0.15257460202568796
50,51,-0.008430239835923966,0.10444503276029386,0.1037123097648369,0.21640065882490112,0.20842931553080649,0.13727493916693984
51,52,0.01116083814413549,0.13929006977173475,0.05486257746582518,0.2404338646762888,0.23230502645409692,0.1661743023445752
52,53,0.009352287190559961,0.13725234830907748,0.06848777221480251,0.25645600191054724,0.24822216706962388,0.16738856130161864
53,54,0.0005999337693716461,0.13684480401654595,0.05922263978549783,0.24556094859125138,0.23739851145106544,0.15451741635695754
54,55,-0.009696952608496819,0.12033926016902122,0.048322483986316,0.23274323880384468,0.2246647989586439,0.15184604665146184
55,56,-0.0027465543034354994,0.12624865241072772,0.04331578413528756,0.24139519291034434,0.23326005489102858,0.18414533490881882
56,57,0.009352287190559963,0.10159222271257354,0.03021789970357939,0.25645600191054724,0.24822216706962388,0.19155231454678415
57,58,-0.00017233270896833643,0.12359961450927308,0.039605461924257644,0.24459962035719607,0.236443483014134,0.1909451850682624
58,59,0.0018870445666053204,0.12482224738686755,0.027938063164271717,0.24716316231467736,0.23899022551261825,0.20333062643010605
59,60,0.004718688320519145,0.14377305698958107,0.026820496233238587,0.2506880325062142,0.24249199644803418,0.2040591818043322
60,61,-0.0029782480054709307,0.1350108547001544,0.030709629153233893,0.26831238346389835,0.26000085112511373,0.23562991468746322
61,62,-0.006756753887208625,0.1030186277364337,0.0234677954401392,0.26350574229362084,0.2552257089404557,0.2242158804912542
62,63,-0.024893582119549704,0.11728267797503518,0.060302801486991166,0.24043386467628872,0.23230502645409692,0.21389467935638456
63,64,-0.021193612575756075,0.12787882958085356,0.06432604243871046,0.2055056055056052,0.19760565991224804,0.21717317854040197
64,65,-0.013300344215663102,0.13745612045534317,0.07290895646904483,0.1901243537607172,0.18232520492134227,0.1933737029823495
65,66,-0.0815442269123007,0.13439953826135714,-0.001297487751554899,0.17890885769673626,0.17118320649047336,0.1812311134119145
66,67,-0.07692472598784307,0.1401051583567978,-0.0012080823970722029,0.16224583497310763,0.15462938025032547,0.12051816555973963
67,68,-0.06702579543543398,0.1523314871327419,-0.020832557706014013,0.1443010412707381,0.1368021827609352,0.11408259308740908
68,69,-0.07361336204835148,0.1474409556223643,-0.035986765290823175,0.16032317850499656,0.15271932337646216,0.11881820301987872
69,70,-0.09133257183575012,0.13052786748230805,-0.05677351020803939,0.18948346827134682,0.1816885192967211,0.12974653363327027
70,71,-0.10246980779738837,0.11667136153623794,-0.07085485353905684,0.1170634079724987,0.10974304371453933,0.11954675839410485
71,72,-0.09837523575266843,0.12176566519288136,-0.06137788596389588,0.1343673161854978,0.12693355557930844,0.15913160039372276
72,73,-0.11475352393154821,0.10138845056630767,-0.10456067217901596,0.11866562169592447,0.11133475777609196,0.11274690823466123
73,74,-0.14554470570784211,0.06307928706834923,-0.07832020063835808,0.12635624756836858,0.11897498527154496,0.1193039066026962
74,75,-0.1429241795992214,0.06633964140860095,-0.08363981923007577,0.11225676680222123,0.10496790152988131,0.11541827794015691
75,76,-0.1434155282445878,0.06572832496980371,-0.0848467915155916,0.10745012563194374,0.10019275934522327,0.1426176785779312
76,77,-0.13555394991872546,0.08714313098672576,-0.11175780321486938,0.1510303389091267,0.14348738181945658,0.1673885613016186
77,78,-0.13953924185120406,0.08213115511042486,-0.10608056320522104,0.11289765229159145,0.10560458715450227,0.1554888235225923
78,79,-0.12414152302117294,0.10149560735976934,-0.09454727247695908,0.1311628887386461,0.12375012745620301,0.17831689191501016
79,80,-0.12794566532035712,0.09671144856875481,-0.12212882433485678,0.09174843114237043,0.0845939615420068,0.15427456456554886
80,81,-0.13057233500312718,0.09340810083210187,-0.13473497931691045,0.08277603429118567,0.07568036279731166,0.05859095875052131
81,82,-0.08936079342863211,0.1452364877347592,-0.159276749122398,0.1157816369937581,0.10846967246529722,0.10109002224704373
82,83,-0.09606332986052808,0.1368072555791621,-0.16289847478671848,0.11097499582348061,0.10369453028063917,0.1197896101855135
83,84,-0.12142427852175573,0.10491286363906539,-0.1562793272494495,0.07091965273783449,0.06390167874182179,0.047905479928538414
84,85,-0.12051853035528337,0.10605194906549735,-0.13095005600683357,0.06130637039727928,0.054351394372505475,0.0862760629711129
85,86,-0.10584541005843018,0.12450513297369624,-0.1934348087586526,0.023494126524429473,0.01678694251986198,0.10886127957212195
86,87,-0.12921371275341853,0.09511672897174998,-0.2344735234897202,-0.021688300476179343,-0.028099394015924036,0.06903358578109538
87,88,-0.14171303745073785,0.07939735008698807,-0.22630990819375504,-0.07968843726419497,-0.08571944304413169,0.06587651249278223
88,89,-0.14461143158344963,0.0757522767224055,-0.2824844069600444,-0.07680445256202846,-0.08285435773333684,0.059076662333338616
89,90,-0.1505117339250414,0.06833194880164825,-0.346954903973044,-0.033865124774215834,-0.0401964208837246,0.04329129589177318
90,91,-0.17706309446220425,0.034940473158240844,-0.3389407518824976,-0.02200874322086455,-0.028417736828234615,0.044262703057407954
91,92,-0.21028997160759447,0.0185376430176196,-0.39092444111847424,-0.09891500194530504,-0.10482001178276397,0.08214758251716514
92,93,-0.20316352224329784,0.027729063510748164,-0.36276660944898687,-0.057257445136233064,-0.06343544618239386,0.13484642125285282
93,94,-0.190899400081485,0.04354685691752761,-0.36211681333353724,-0.05629611690217763,-0.06248041774546231,0.17564552220951432
94,95,-0.20548376157120837,0.024736508001357457,-0.37446293952708165,-0.07456135334923226,-0.08062595804716305,0.17631373041811352
95,96,-0.19736292392352148,0.03521045228422494,-0.32000005567718065,-0.03258335379547507,-0.03892304963448235,0.17106829598060944
96,97,-0.18973928041752972,0.04504313467222296,-0.32769984162487203,0.01003553124765234,0.0034165444028193,0.1808074306209435
97,98,-0.19686572978182634,0.0358517141790944,-0.32846578891809786,-0.015279445582475976,-0.021732537769713265,0.17998887556540943
98,99,-0.2114500912715497,0.017041365262924244,-0.2834764636949376,0.016123943396670594,0.009465057836719585,0.1808742514418034
99,100,-0.20034608877369212,0.031362880915008336,-0.2856130535128834,0.03567095082246587,0.028883969387662453,0.19883234704790817
100,101,-0.19802584944578158,0.03435543642439904,-0.27839702375038733,0.02189191280100362,0.01519522845830928,0.22277090612097625
101,102,-0.21741642097189104,0.009346222524491028,-0.24441315174041953,0.014842172417929941,0.008191686587477456,0.19861517938011344
102,103,-0.22296453218554113,0.03050786505518243,-0.23268206424943422,0.03214608063092904,0.025382198452246544,0.20629957377900482
103,104,-0.2237704183790845,0.029439095230399944,-0.22627229479559685,0.025737225737225568,0.019015342206035672,0.21789298619820166
104,105,-0.22860573554034433,0.023026476281705652,-0.248766957407177,0.010035531247652342,0.003416544402819305,0.1982476648653838
105,106,-0.22601874258026625,0.004643635295448522,-0.24074466733602204,-0.0005390793269581776,-0.007088768403428433,0.20427824394799204
106,107,-0.22672428611483286,0.007208682874926209,-0.21091303591564697,-0.007268376965346752,-0.013773967461949782,0.21800992263470662
107,108,-0.20367653065231883,-0.01780053102498165,-0.18954713773618923,-0.013677231859050107,-0.020140823708160543,0.21089350521312467
108,109,-0.2013247188704296,-0.007540340707070753,-0.17241410617719005,-0.01111368990156881,-0.017594081209676284,0.19813072842887908
109,110,-0.22554838022388832,-0.008609110531853084,-0.1832583073286507,0.0013835771411527939,-0.005178711529565241,0.23981021544025696
110,111,-0.211907871888931,-0.001632795790445346,-0.15858674188369187,0.01003553124765234,0.003416544402819301,0.2353165152374271
111,112,-0.2281353731839664,-0.012945738614349674,-0.17285754934695235,0.038554935524632274,0.03174905469845719,0.222136108322807
112,113,-0.20485243654326335,-0.011685669344495605,-0.1635049297665105,0.04079803473742846,0.03397745438463096,0.2198474952083546
113,114,-0.2102616036416086,0.0007050118090688646,-0.13266547296031192,0.050731759822668775,0.04384608156625775,0.1907470277238573
114,115,-0.217787401343654,-0.01210569243444701,-0.11980562103720431,0.044643347673650635,0.03779756813235758,0.19196650770455095
115,116,-0.20492606934229704,-0.003075196000493194,-0.10533324849677911,0.03182563788624392,0.02506385563993606,0.21181229149994854
116,117,-0.18898374973058718,-0.002655172910541788,-0.08739395662912118,0.0266985539712811,0.019970370642967313,0.2231050102252758
117,118,-0.16619877158890736,-0.0009750805507364618,-0.061754878813771764,0.04272069120553954,0.03588751125849427,0.24432062084830194
118,119,-0.1462081775589431,-0.00601535763015259,-0.03926021620219173,0.04400246218428019,0.0371608825077364,0.25329131604874683
119,120,-0.1608249559894546,-0.012525715524398268,-0.055707926498830884,0.03214608063092902,0.025382198452246534,0.2538425878208413
120,121,-0.2025974159158675,0.001478398231926705,-0.10271290249363804,0.02990298141813283,0.02315379876607275,0.23732519627856904
121,122,-0.20122258387434308,0.007190602527269711,-0.0818710735148085,0.06515168333350145,0.0581715081202321,0.24965160787727964
122,123,-0.19241937283383642,-0.014368362071283164,-0.07175250664114079,0.09174843114237041,0.0845939615420068,0.2570474548365061
123,124,-0.19287531603513755,-0.023427854878649637,-0.07227657584176897,0.08437824801461162,0.07727207685886449,0.26074537831611927
124,125,-0.18754189301334326,-0.01962020262325631,-0.08533799284204133,0.10296392720635136,0.0957359599728757,0.25433564428478983
125,126,-0.18198624403230756,-0.021433370363919818,-0.07372784439735473,0.09687551505733301,0.08968744653897531,0.24866549494938284
126,127,-0.18931970068727477,-0.01708176778632743,-0.042203066328796265,0.08021249233370435,0.0731336202988274,0.2343668574948786
127,128,-0.15724598203943765,-0.02922999164877278,-0.004308831821833346,0.08950533192957422,0.082365561855833,0.24792591025346017
128,129,-0.12831139330181443,-0.00801592908301003,0.0298766052652991,0.07091965273783449,0.0639016787418218,0.23338074456698177
129,130,-0.09436102090330595,-0.0018511587647542641,0.06998805562107371,0.0885440036955187,0.08141053341890135,0.24644674086161503
130,131,-0.12240846423152103,0.0014125431684399949,0.03685075693519754,0.07059920999314916,0.06358333592951108,0.2572939830684803
